Watershed,Water level station,Hydrologic time,Current water level,Warning value,Be vigilant
高屏溪,達西霸樂橋,11-26 22:10,740.64,"{'Level 1': '745', 'Level 2': '743.9', 'Level 3': '--'}",未達警戒
大甲溪,谷關大橋,11-26 22:10,702.83,"{'Level 1': '720.2', 'Level 2': '719.3', 'Level 3': '--'}",未達警戒
大甲溪,松鶴橋,11-26 22:10,637.41,"{'Level 1': '646.2', 'Level 2': '644.6', 'Level 3': '--'}",未達警戒
大安溪,象鼻(3),11-26 22:10,623.36,"{'Level 1': '633.2', 'Level 2': '631.3', 'Level 3': '--'}",未達警戒
大安溪,雪山坑橋,11-26 22:10,598.87,"{'Level 1': '607.4', 'Level 2': '606', 'Level 3': '--'}",未達警戒
大安溪,雙崎,11-26 22:10,478.57,"{'Level 1': '493.5', 'Level 2': '492.4', 'Level 3': '--'}",未達警戒
濁水溪,內茅埔,11-26 22:20,471.55,"{'Level 1': '477.6', 'Level 2': '477.2', 'Level 3': '474.6'}",未達警戒
大甲溪,龍安橋,11-26 22:10,440.55,"{'Level 1': '446.5', 'Level 2': '445.2', 'Level 3': '--'}",未達警戒
烏溪,觀音橋,11-26 22:10,381.35,"{'Level 1': '388.8', 'Level 2': '387.2', 'Level 3': '--'}",未達警戒
濁水溪,寶石橋,11-26 22:20,346.19,"{'Level 1': '353.9', 'Level 2': '352.4', 'Level 3': '--'}",未達警戒
烏溪,南北通橋,11-26 22:10,336.97,"{'Level 1': '344.9', 'Level 2': '343.2', 'Level 3': '--'}",未達警戒
大安溪,卓蘭,11-26 22:10,320.75,"{'Level 1': '326.3', 'Level 2': '325.3', 'Level 3': '--'}",未達警戒
大甲溪,東勢大橋,11-26 22:10,319.32,"{'Level 1': '326.6', 'Level 2': '325.8', 'Level 3': '--'}",未達警戒
卑南溪,新武呂(4),11-26 22:10,318.44,"{'Level 1': '320.6', 'Level 2': '319.9', 'Level 3': '319'}",未達警戒
卑南溪,池上大橋,11-26 22:10,278.15,"{'Level 1': '285.4', 'Level 2': '284.4', 'Level 3': '--'}",未達警戒
高屏溪,獅額頭橋,11-26 22:10,266.29,"{'Level 1': '281.7', 'Level 2': '278.2', 'Level 3': '--'}",未達警戒
濁水溪,水里,11-26 22:20,265.35,"{'Level 1': '268.5', 'Level 2': '267.7', 'Level 3': '--'}",未達警戒
濁水溪,玉峰橋,11-26 22:20,263.48,"{'Level 1': '273.6', 'Level 2': '271.9', 'Level 3': '268.6'}",未達警戒
秀姑巒溪,文田橋,11-26 22:10,261.41,"{'Level 1': '263.4', 'Level 2': '263', 'Level 3': '--'}",未達警戒
後龍溪,順義橋,11-26 22:10,259.63,"{'Level 1': '264.66', 'Level 2': '262.98', 'Level 3': '--'}",未達警戒
高屏溪,四德大橋,11-26 22:10,251.42,"{'Level 1': '260.7', 'Level 2': '259.1', 'Level 3': '--'}",未達警戒
頭前溪,內灣,11-26 22:10,247.23,"{'Level 1': '255', 'Level 2': '253.4', 'Level 3': '250.2'}",未達警戒
高屏溪,多納大橋,11-26 22:10,245.29,"{'Level 1': '250.1', 'Level 2': '248.6', 'Level 3': '--'}",未達警戒
高屏溪,六龜(1),11-26 22:10,225.64,"{'Level 1': '238.2', 'Level 2': '235.9', 'Level 3': '--'}",未達警戒
後龍溪,彼岸橋,11-26 22:10,220.78,"{'Level 1': '229.9', 'Level 2': '229.1', 'Level 3': '228.7'}",未達警戒
頭前溪,上坪,11-26 22:10,208.89,"{'Level 1': '218.1', 'Level 2': '217.1', 'Level 3': '213.6'}",未達警戒
卑南溪,電光大橋,11-26 22:10,207.08,"{'Level 1': '214.8', 'Level 2': '213.6', 'Level 3': '212'}",未達警戒
蘭陽溪,牛鬥(3),11-26 22:10,200.38,"{'Level 1': '208.1', 'Level 2': '206.8', 'Level 3': '--'}",未達警戒
大甲溪,后豐大橋,11-26 22:10,195.67,"{'Level 1': '206.3', 'Level 2': '205.4', 'Level 3': '--'}",未達警戒
蘭陽溪,清水大橋,11-26 22:10,194.48,"{'Level 1': '198.6', 'Level 2': '197.5', 'Level 3': '--'}",未達警戒
秀姑巒溪,崙天大橋,11-26 22:10,193.71,"{'Level 1': '198.7', 'Level 2': '198.3', 'Level 3': '--'}",未達警戒
秀姑巒溪,卓樂橋,11-26 22:20,192.52,"{'Level 1': '200.9', 'Level 2': '200.4', 'Level 3': '--'}",未達警戒
大安溪,義里,11-26 22:10,190.37,"{'Level 1': '196.5', 'Level 2': '195.5', 'Level 3': '--'}",未達警戒
濁水溪,龍門橋,11-26 22:00,186.85,"{'Level 1': '195.2', 'Level 2': '194.6', 'Level 3': '--'}",未達警戒
中港溪,永興橋,11-26 22:20,175.41,"{'Level 1': '179.4', 'Level 2': '178.6', 'Level 3': '--'}",未達警戒
烏溪,嘉新橋,11-26 22:10,172.05,"{'Level 1': '178', 'Level 2': '177.2', 'Level 3': '--'}",未達警戒
後龍溪,打鹿坑,11-26 22:10,169.62,"{'Level 1': '181', 'Level 2': '178', 'Level 3': '175.6'}",未達警戒
秀姑巒溪,立山,11-26 22:10,168.06,"{'Level 1': '173', 'Level 2': '171.6', 'Level 3': '--'}",未達警戒
烏溪,雙冬橋,11-26 22:10,164.85,"{'Level 1': '174.3', 'Level 2': '172.7', 'Level 3': '--'}",未達警戒
花蓮溪,馬鞍溪橋,11-26 22:10,163.57,"{'Level 1': '167.7', 'Level 2': '166.2', 'Level 3': '--'}",未達警戒
卑南溪,瑞源,11-26 22:10,161.06,"{'Level 1': '163.5', 'Level 2': '162.4', 'Level 3': '--'}",未達警戒
卑南溪,延平,11-26 22:10,157.00,"{'Level 1': '164.3', 'Level 2': '163.3', 'Level 3': '--'}",未達警戒
花蓮溪,平林,11-26 22:10,156.24,"{'Level 1': '161.4', 'Level 2': '160.6', 'Level 3': '--'}",未達警戒
秀姑巒溪,馬遠橋,11-26 22:10,155.69,"{'Level 1': '164.7', 'Level 2': '163.7', 'Level 3': '--'}",未達警戒
濁水溪,延平橋,11-26 22:20,155.37,"{'Level 1': '163.3', 'Level 2': '162.7', 'Level 3': '--'}",未達警戒
卑南溪,鹿鳴橋,11-26 22:10,146.14,"{'Level 1': '148.6', 'Level 2': '147.6', 'Level 3': '--'}",未達警戒
濁水溪,名竹大橋,11-26 22:10,144.07,"{'Level 1': '156.5', 'Level 2': '154.9', 'Level 3': '--'}",未達警戒
高屏溪,大津橋(1),11-26 22:10,142.00,"{'Level 1': '144.9', 'Level 2': '143.9', 'Level 3': '--'}",未達警戒
高屏溪,新威大橋(1),11-26 22:10,136.48,"{'Level 1': '145', 'Level 2': '143.5', 'Level 3': '--'}",未達警戒
花蓮溪,萬里溪橋,11-26 22:10,132.14,"{'Level 1': '138.4', 'Level 2': '137.4', 'Level 3': '--'}",未達警戒
秀姑巒溪,玉里大橋,11-26 22:10,125.00,"{'Level 1': '130.1', 'Level 2': '129.6', 'Level 3': '--'}",未達警戒
高屏溪,杉林大橋(2),11-26 22:10,114.11,"{'Level 1': '124', 'Level 2': '122.9', 'Level 3': '--'}",未達警戒
烏溪,農路橋,11-26 22:10,111.07,"{'Level 1': '113.4', 'Level 2': '112.2', 'Level 3': '--'}",未達警戒
淡水河,覽勝橋,11-26 22:10,110.03,"{'Level 1': '114.5', 'Level 2': '112.5', 'Level 3': '--'}",未達警戒
花蓮溪,仁壽橋,11-26 22:10,109.22,"{'Level 1': '124.9', 'Level 2': '122.9', 'Level 3': '--'}",未達警戒
卑南溪,鸞山大橋,11-26 22:10,106.42,"{'Level 1': '114.4', 'Level 2': '112.8', 'Level 3': '--'}",未達警戒
高屏溪,三地門,11-26 22:10,106.15,"{'Level 1': '112.3', 'Level 2': '111.1', 'Level 3': '109'}",未達警戒
頭前溪,竹林大橋,11-26 22:10,100.69,"{'Level 1': '107.8', 'Level 2': '106.9', 'Level 3': '102.6'}",未達警戒
烏溪,一江橋,11-26 22:10,95.68,"{'Level 1': '105.2', 'Level 2': '103.9', 'Level 3': '--'}",未達警戒
高屏溪,口社富邦大橋,11-26 22:10,93.98,"{'Level 1': '97.7', 'Level 2': '96.3', 'Level 3': '--'}",未達警戒
高屏溪,溝坪橋,11-26 22:10,90.65,"{'Level 1': '96.1', 'Level 2': '95.3', 'Level 3': '--'}",未達警戒
濁水溪,彰雲大橋,11-26 22:20,89.01,"{'Level 1': '97.3', 'Level 2': '96.1', 'Level 3': '94.5'}",未達警戒
烏溪,烏溪橋,11-26 22:10,87.23,"{'Level 1': '95.7', 'Level 2': '94', 'Level 3': '--'}",未達警戒
北港溪,梅南橋,11-26 22:10,87.20,"{'Level 1': '91.6', 'Level 2': '90.7', 'Level 3': '--'}",未達警戒
烏溪,溪洲橋,11-26 22:10,79.23,"{'Level 1': '82.6', 'Level 2': '81.6', 'Level 3': '--'}",未達警戒
花蓮溪,箭瑛大橋,11-26 22:10,79.13,"{'Level 1': '85', 'Level 2': '83.8', 'Level 3': '--'}",未達警戒
烏溪,銀聯一橋,11-26 22:10,78.02,"{'Level 1': '86.4', 'Level 2': '85.5', 'Level 3': '--'}",未達警戒
烏溪,南崗大橋,11-26 22:10,75.04,"{'Level 1': '84.7', 'Level 2': '82.6', 'Level 3': '--'}",未達警戒
四重溪,石門橋,11-26 22:10,72.28,"{'Level 1': '79.3', 'Level 2': '77.7', 'Level 3': '--'}",未達警戒
烏溪,育英橋,11-26 22:10,72.24,"{'Level 1': '75.5', 'Level 2': '74.8', 'Level 3': '--'}",未達警戒
曾文溪,北寮橋,11-26 22:10,69.14,"{'Level 1': '74.7', 'Level 2': '73.4', 'Level 3': '--'}",未達警戒
曾文溪,竹圍橋,11-26 22:10,65.35,"{'Level 1': '69.2', 'Level 2': '68.6', 'Level 3': '--'}",未達警戒
秀姑巒溪,瑞穗大橋,11-26 22:10,59.82,"{'Level 1': '71.7', 'Level 2': '70.2', 'Level 3': '--'}",未達警戒
淡水河,上龜山橋,11-26 22:10,57.95,"{'Level 1': '62.4', 'Level 2': '59.5', 'Level 3': '--'}",未達警戒
高屏溪,西圓潭橋,11-26 22:10,57.85,"{'Level 1': '63.8', 'Level 2': '62.7', 'Level 3': '--'}",未達警戒
大安溪,大安溪橋,11-26 22:10,55.07,"{'Level 1': '63.7', 'Level 2': '62.9', 'Level 3': '--'}",未達警戒
大甲溪,大甲溪橋,11-26 22:10,53.65,"{'Level 1': '60.1', 'Level 2': '59.3', 'Level 3': '--'}",未達警戒
烏溪,利民橋,11-26 22:10,50.99,"{'Level 1': '56.1', 'Level 2': '54.6', 'Level 3': '--'}",未達警戒
東港溪,萬安大橋,11-26 22:10,47.45,"{'Level 1': '51.4', 'Level 2': '50.7', 'Level 3': '--'}",未達警戒
淡水河,介壽橋.,11-26 22:10,43.21,"{'Level 1': '50.3', 'Level 2': '47.3', 'Level 3': '--'}",未達警戒
高屏溪,美濃橋,11-26 22:10,41.58,"{'Level 1': '46.7', 'Level 2': '45.6', 'Level 3': '--'}",未達警戒
鳳山溪,新埔(2),11-26 22:10,40.92,"{'Level 1': '45.2', 'Level 2': '44.4', 'Level 3': '44.1'}",未達警戒
曾文溪,玉田,11-26 22:10,39.14,"{'Level 1': '45.1', 'Level 2': '44', 'Level 3': '--'}",未達警戒
中港溪,平安橋,11-26 22:10,38.06,"{'Level 1': '42.1', 'Level 2': '41.4', 'Level 3': '40.6'}",未達警戒
花蓮溪,米棧大橋,11-26 22:10,35.94,"{'Level 1': '44.3', 'Level 2': '42.7', 'Level 3': '--'}",未達警戒
曾文溪,玉豐大橋,11-26 22:10,35.88,"{'Level 1': '44.6', 'Level 2': '42.8', 'Level 3': '--'}",未達警戒
高屏溪,旗山橋,11-26 22:10,35.09,"{'Level 1': '45.1', 'Level 2': '44.1', 'Level 3': '--'}",未達警戒
淡水河,海山橋,11-26 22:10,33.25,"{'Level 1': '35.6', 'Level 2': '34.3', 'Level 3': '--'}",未達警戒
東港溪,三民橋,11-26 22:10,33.02,"{'Level 1': '37.2', 'Level 2': '36.2', 'Level 3': '--'}",未達警戒
北港溪,善功橋,11-26 22:10,32.09,"{'Level 1': '36.5', 'Level 2': '35.5', 'Level 3': '--'}",未達警戒
和平溪,希能埔,11-26 22:10,29.99,"{'Level 1': '35.8', 'Level 2': '34.5', 'Level 3': '--'}",未達警戒
淡水河,三鶯橋,11-26 22:10,28.89,"{'Level 1': '44.6', 'Level 2': '43.6', 'Level 3': '--'}",未達警戒
淡水河,三峽(2),11-26 22:10,28.25,"{'Level 1': '32.5', 'Level 2': '31.3', 'Level 3': '--'}",未達警戒
北港溪,大湖口溪橋,11-26 22:10,27.00,"{'Level 1': '32', 'Level 2': '31', 'Level 3': '--'}",未達警戒
頭前溪,經國橋,11-26 22:10,26.90,"{'Level 1': '34.3', 'Level 2': '32.8', 'Level 3': '29.7'}",未達警戒
朴子溪,仁弘橋,11-26 22:10,26.72,"{'Level 1': '31.3', 'Level 2': '30.5', 'Level 3': '--'}",未達警戒
卑南溪,台東大橋,11-26 22:10,25.26,"{'Level 1': '31.4', 'Level 2': '29.9', 'Level 3': '27.9'}",未達警戒
八掌溪,軍輝橋,11-26 22:10,23.67,"{'Level 1': '30.5', 'Level 2': '29.5', 'Level 3': '28'}",未達警戒
北港溪,田頭橋,11-26 22:10,23.32,"{'Level 1': '28', 'Level 2': '26.9', 'Level 3': '--'}",未達警戒
烏溪,溪南橋,11-26 22:10,23.27,"{'Level 1': '30.3', 'Level 2': '29.5', 'Level 3': '--'}",未達警戒
八掌溪,頭前溪橋,11-26 22:10,22.76,"{'Level 1': '27.5', 'Level 2': '27', 'Level 3': '--'}",未達警戒
高屏溪,里嶺大橋,11-26 22:10,22.34,"{'Level 1': '32', 'Level 2': '30.7', 'Level 3': '30'}",未達警戒
淡水河,橫溪,11-26 22:10,22.23,"{'Level 1': '25', 'Level 2': '--', 'Level 3': '--'}",未達警戒
四重溪,懷恩橋,11-26 22:10,22.11,"{'Level 1': '29.3', 'Level 2': '27.8', 'Level 3': '--'}",未達警戒
淡水河,碇內,11-26 22:10,21.71,"{'Level 1': '28.1', 'Level 2': '25.1', 'Level 3': '--'}",未達警戒
急水溪,青葉橋,11-26 22:10,20.57,"{'Level 1': '26.5', 'Level 2': '25.5', 'Level 3': '24'}",未達警戒
淡水河,深坑中正橋,11-26 22:10,20.53,"{'Level 1': '27.3', 'Level 2': '25.6', 'Level 3': '--'}",未達警戒
北港溪,雙東大橋,11-26 22:10,20.27,"{'Level 1': '28.3', 'Level 2': '26.8', 'Level 3': '--'}",未達警戒
八掌溪,常盤橋,11-26 22:10,19.41,"{'Level 1': '25.9', 'Level 2': '24.4', 'Level 3': '--'}",未達警戒
烏溪,集泉橋,11-26 22:10,19.37,"{'Level 1': '25.6', 'Level 2': '24.2', 'Level 3': '--'}",未達警戒
濁水溪,溪州大橋,11-26 22:20,19.24,"{'Level 1': '29.8', 'Level 2': '28.6', 'Level 3': '26'}",未達警戒
淡水河,暖江橋,11-26 22:10,16.81,"{'Level 1': '24.9', 'Level 2': '21.9', 'Level 3': '--'}",未達警戒
朴子溪,牛稠溪橋(1),11-26 22:10,15.71,"{'Level 1': '24.1', 'Level 2': '21.6', 'Level 3': '--'}",未達警戒
曾文溪,左鎮,11-26 22:10,15.55,"{'Level 1': '25.8', 'Level 2': '24.1', 'Level 3': '--'}",未達警戒
急水溪,向平橋,11-26 22:10,14.86,"{'Level 1': '26.1', 'Level 2': '24.8', 'Level 3': '--'}",未達警戒
淡水河,碧潭橋,11-26 22:10,13.83,"{'Level 1': '21.1', 'Level 2': '19', 'Level 3': '--'}",未達警戒
蘭陽溪,北成橋,11-26 22:10,13.20,"{'Level 1': '17.2', 'Level 2': '16.2', 'Level 3': '--'}",未達警戒
北港溪,土庫大橋,11-26 22:10,12.73,"{'Level 1': '22', 'Level 2': '20', 'Level 3': '18.5'}",未達警戒
淡水河,柑園橋,11-26 22:10,12.61,"{'Level 1': '21.3', 'Level 2': '18.9', 'Level 3': '--'}",未達警戒
淡水河,萬福橋,11-26 22:10,12.39,"{'Level 1': '22.9', 'Level 2': '20.3', 'Level 3': '--'}",未達警戒
後龍溪,北勢大橋左岸,11-26 22:10,12.27,"{'Level 1': '19.9', 'Level 2': '19', 'Level 3': '15.6'}",未達警戒
急水溪,忠義橋,11-26 21:50,11.76,"{'Level 1': '18.1', 'Level 2': '17.2', 'Level 3': '--'}",未達警戒
淡水河,大華橋,11-26 22:10,10.51,"{'Level 1': '20.7', 'Level 2': '17.3', 'Level 3': '--'}",未達警戒
北港溪,西結橋,11-26 22:10,10.10,"{'Level 1': '18.3', 'Level 2': '16.8', 'Level 3': '--'}",未達警戒
曾文溪,二溪大橋,11-26 22:10,9.96,"{'Level 1': '20.9', 'Level 2': '19.4', 'Level 3': '--'}",未達警戒
八掌溪,八掌溪橋,11-26 22:10,9.55,"{'Level 1': '17.8', 'Level 2': '16.8', 'Level 3': '--'}",未達警戒
烏溪,大肚橋,11-26 22:10,9.43,"{'Level 1': '20.9', 'Level 2': '19', 'Level 3': '--'}",未達警戒
曾文溪,官田橋,11-26 22:10,9.37,"{'Level 1': '15.2', 'Level 2': '14', 'Level 3': '--'}",未達警戒
急水溪,重溪橋,11-26 22:10,9.34,"{'Level 1': '16.9', 'Level 2': '16.1', 'Level 3': '--'}",未達警戒
高屏溪,高屏大橋,11-26 22:10,9.16,"{'Level 1': '17.9', 'Level 2': '16.6', 'Level 3': '13.2'}",未達警戒
北港溪,溪口,11-26 22:10,7.67,"{'Level 1': '17.5', 'Level 2': '15.3', 'Level 3': '12.2'}",未達警戒
二仁溪,崇德橋,11-26 22:10,7.64,"{'Level 1': '16.4', 'Level 2': '14.4', 'Level 3': '--'}",未達警戒
淡水河,寶橋,11-26 22:10,7.16,"{'Level 1': '18', 'Level 2': '15', 'Level 3': '11.6'}",未達警戒
東港溪,萬巒大橋,11-26 22:10,6.75,"{'Level 1': '13.8', 'Level 2': '12', 'Level 3': '--'}",未達警戒
淡水河,五堵,11-26 22:10,6.7,"{'Level 1': '17.4', 'Level 2': '14.4', 'Level 3': '--'}",未達警戒
淡水河,柑城橋,11-26 22:10,5.97,"{'Level 1': '17.6', 'Level 2': '15.8', 'Level 3': '14'}",未達警戒
鹽水溪,新灣橋,11-26 22:10,5.32,"{'Level 1': '11.2', 'Level 2': '10.5', 'Level 3': '--'}",未達警戒
二仁溪,南雄橋,11-26 22:10,5.02,"{'Level 1': '13.5', 'Level 2': '11', 'Level 3': '--'}",未達警戒
濁水溪,西濱大橋,11-26 22:10,4.77,"{'Level 1': '9.3', 'Level 2': '8.4', 'Level 3': '7'}",未達警戒
高屏溪,萬大大橋,11-26 22:10,4.76,"{'Level 1': '13.3', 'Level 2': '12.2', 'Level 3': '10.2'}",未達警戒
蘭陽溪,西門橋,11-26 22:10,4.58,"{'Level 1': '8.9', 'Level 2': '8.2', 'Level 3': '6.8'}",未達警戒
濁水溪,自強大橋,11-26 22:10,4.43,"{'Level 1': '19', 'Level 2': '17.6', 'Level 3': '16'}",未達警戒
東港溪,潮州,11-26 22:00,4.35,"{'Level 1': '12.2', 'Level 2': '11.3', 'Level 3': '8.9'}",未達警戒
花蓮溪,花蓮大橋,11-26 22:10,4.33,"{'Level 1': '11', 'Level 2': '9.8', 'Level 3': '--'}",未達警戒
淡水河,長安橋,11-26 22:10,3.35,"{'Level 1': '13.5', 'Level 2': '10.5', 'Level 3': '--'}",未達警戒
淡水河,安坑橋,11-26 22:10,3.34,"{'Level 1': '15.1', 'Level 2': '12.4', 'Level 3': '10.7'}",未達警戒
蘭陽溪,蘭陽大橋,11-26 22:10,3.15,"{'Level 1': '7.7', 'Level 2': '6.7', 'Level 3': '5.6'}",未達警戒
高雄沿海,阿公店溪-聖森橋,11-26 22:10,3.02,"{'Level 1': '6.6', 'Level 2': '5.7', 'Level 3': '--'}",未達警戒
淡水河,江北橋,11-26 22:10,3.0,"{'Level 1': '12.7', 'Level 2': '9.7', 'Level 3': '--'}",未達警戒
急水溪,新營,11-26 22:10,2.98,"{'Level 1': '12.5', 'Level 2': '11', 'Level 3': '9.5'}",未達警戒
淡水河,秀朗橋,11-26 22:10,2.4,"{'Level 1': '11.3', 'Level 2': '9.1', 'Level 3': '5.9'}",未達警戒
磺溪,新磺溪橋,11-26 22:10,2.27,"{'Level 1': '5.8', 'Level 2': '4.6', 'Level 3': '--'}",未達警戒
曾文溪,新曾文溪渡槽,11-26 22:10,2.21,"{'Level 1': '15.2', 'Level 2': '13.1', 'Level 3': '--'}",未達警戒
淡水河,社后橋,11-26 22:10,2.11,"{'Level 1': '11.5', 'Level 2': '8.5', 'Level 3': '--'}",未達警戒
淡水河,南湖大橋,11-26 22:10,1.65,"{'Level 1': '11.6', 'Level 2': '9.8', 'Level 3': '6.4'}",未達警戒
二仁溪,39號二仁溪橋,11-26 22:10,1.50,"{'Level 1': '10.3', 'Level 2': '8.7', 'Level 3': '--'}",未達警戒
曾文溪,新中,11-26 22:10,1.35,"{'Level 1': '13.7', 'Level 2': '12.2', 'Level 3': '--'}",未達警戒
八掌溪,義竹(厚生橋)(1),11-26 22:10,1.23,"{'Level 1': '8.1', 'Level 2': '5.9', 'Level 3': '--'}",未達警戒
鹽水溪,新市,11-26 22:10,1.16,"{'Level 1': '8.3', 'Level 2': '7.3', 'Level 3': '--'}",未達警戒
東港溪,興社大橋,11-26 22:10,1.06,"{'Level 1': '7.7', 'Level 2': '6.8', 'Level 3': '--'}",未達警戒
東港溪,港東二號橋,11-26 22:10,0.98,"{'Level 1': '6.8', 'Level 2': '5.9', 'Level 3': '--'}",未達警戒
中港溪,尖山大橋,11-26 22:10,0.63,"{'Level 1': '6', 'Level 2': '3.4', 'Level 3': '--'}",未達警戒
高雄沿海,阿公店溪-前州橋,11-26 22:10,0.60,"{'Level 1': '5.3', 'Level 2': '4.4', 'Level 3': '--'}",未達警戒
蘭陽溪,噶瑪蘭橋,11-26 22:10,0.59,"{'Level 1': '3.6', 'Level 2': '2.5', 'Level 3': '--'}",未達警戒
二仁溪,二層行橋,11-26 22:10,0.49,"{'Level 1': '7.1', 'Level 2': '6.2', 'Level 3': '--'}",未達警戒
朴子溪,灣內橋,11-26 22:10,0.39,"{'Level 1': '11.3', 'Level 2': '10.2', 'Level 3': '9'}",未達警戒
八掌溪,嘉南大橋,11-26 22:10,0.39,"{'Level 1': '4.9', 'Level 2': '3.3', 'Level 3': '--'}",未達警戒
曾文溪,麻善大橋,11-26 22:10,0.32,"{'Level 1': '11.6', 'Level 2': '10.6', 'Level 3': '--'}",未達警戒
淡水河,入口堰,11-26 22:10,0.25,"{'Level 1': '3.8', 'Level 2': '3.5', 'Level 3': '3.3'}",未達警戒
朴子溪,東石大橋,11-26 22:10,0.18,"{'Level 1': '5.5', 'Level 2': '3.9', 'Level 3': '--'}",未達警戒
北港溪,北港(2),11-26 22:10,0.06,"{'Level 1': '11', 'Level 2': '10', 'Level 3': '5.6'}",未達警戒
北港溪,雲嘉大橋,11-26 22:10,0.05,"{'Level 1': '5.6', 'Level 2': '3.7', 'Level 3': '--'}",未達警戒
朴子溪,蒜頭,11-26 22:10,0.05,"{'Level 1': '9.9', 'Level 2': '8.3', 'Level 3': '--'}",未達警戒
淡水河,城林橋,11-26 22:10,-0.08,"{'Level 1': '15.3', 'Level 2': '13', 'Level 3': '--'}",未達警戒
淡水河,中正橋,11-26 22:10,-0.25,"{'Level 1': '10.5', 'Level 2': '8.3', 'Level 3': '5.4'}",未達警戒
淡水河,新海大橋,11-26 22:10,-0.43,"{'Level 1': '10.2', 'Level 2': '7.7', 'Level 3': '2.8'}",未達警戒
淡水河,土地公鼻,11-26 22:10,-0.46,"{'Level 1': '5', 'Level 2': '3.1', 'Level 3': '2.1'}",未達警戒
淡水河,百齡橋,11-26 22:10,-0.47,"{'Level 1': '8.8', 'Level 2': '7', 'Level 3': '--'}",未達警戒
淡水河,獅子頭,11-26 22:10,-0.63,"{'Level 1': '4.5', 'Level 2': '3', 'Level 3': '--'}",未達警戒
淡水河,台北橋,11-26 22:10,-0.83,"{'Level 1': '8.5', 'Level 2': '6.7', 'Level 3': '2.2'}",未達警戒
頭前溪,舊港橋,11-26 22:10,-0.90,"{'Level 1': '4.3', 'Level 2': '3.2', 'Level 3': '--'}",未達警戒
淡水河,屈尺,11-26 22:10,-987.0,"{'Level 1': '50.5', 'Level 2': '--', 'Level 3': '--'}",未達警戒
烏溪,大里橋,11-26 22:10,--,"{'Level 1': '44.3', 'Level 2': '43', 'Level 3': '--'}",未達警戒
八掌溪,觸口,11-26 22:10,--,"{'Level 1': '228.8', 'Level 2': '227', 'Level 3': '--'}",未達警戒
高屏溪,寶來二號橋,11-26 22:10,--,"{'Level 1': '402.9', 'Level 2': '400.8', 'Level 3': '--'}",未達警戒
高屏溪,小林橋,11-26 22:10,--,"{'Level 1': '363', 'Level 2': '361.4', 'Level 3': '--'}",未達警戒
急水溪,五王大橋,,--,"{'Level 1': '4', 'Level 2': '2.5', 'Level 3': '--'}",未達警戒
卑南溪,大崙,,--,"{'Level 1': '375.4', 'Level 2': '374.5', 'Level 3': '--'}",未達警戒
蘭陽溪,家源橋,,--,"{'Level 1': '372.8', 'Level 2': '372', 'Level 3': '--'}",未達警戒
